"单遮眼","hair over one eye one eye covered"
"魅魔","fishnet pantyhose,masterpiece, best quality,(best quality:1.05), (masterpiece:1.1025), (highres:1.05),extremely detailed 8K wallpaper,\(beautiful detailed water\),(yuri:2.2025), (2girl:2.5025), (an extremely delicate and beautiful,messy:1.05),\(little bubble\),\(\(small dew\),\(water on body),wet,(mist),stream,streaming tear,(large_breasts,],looking_at_viewer,twins,messy_hair,bikini,dramatic shadows,watery eyes,half closed eyes,mature female,neat figure,slender waist,Perfect female body,:1.05)((masterpiece)),(((high quality))),(extremely detailed CG unity 8k wallpaper),highere,long white hair,bangs,medium breast and thigh,cumshots,silk stockings,naked,white pussy,creampie,after sex,shushing,torogao,album cover,((blush)),((open mouth)),((screaming)),(saliva),earrings,choker,((lace trim)),thighband pantyhose,high heels,beautiful detailed eyes,((gentle)),wife,beauty mark,(bare chest),(Nude pussy),(((perfect face))),(((perfect breasts))),(((perfect pussy))){highres}, {an extremely delicate and beautiful},smile,a"
"雷电将军","best quality,highly detailed,masterpiece,ultra-detailed,illustration,an extremely delicate and beautiful girl,extremely detailed,extremely detailed CG unity 8k wallpaper,best quality,wallpaper,comic,bodysuit, nsfw,semen,medium breasts,spread legs,closed eyes,sex,sexy,mature,lying,on the bed,long hair,wet hair,drunk,slim body,messy hair,(((strong penis in pussy))),(((raiden shogun)))"
"小萝莉嘿嘿嘿","top-down bottom-up,fucked silly,half-closed eyes,miniskirt,white stocking,rabbit tail,thigh strap,nurse cap,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm,cinematiclighting"
"旗袍御姐破处","{{solo}}, {{half body}}, medium breasts, long white hair, blood red eyes, black Chinese cheongsam, no panties, cleavage, crying, intricate magic circle, very detailed magic, wind, exposed vagina , cameltoe, shaved pussy, cum in pussy"
"精灵大姐姐NYWr","masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, 1girl, tutu,Organza lace, wet clothes, wet hair, blue eyes,snowing,Expose cluoder ,white dress,dancing Latin dance, seriously ,long silver hair ,Flirt hair,medium breasts ,Silver necklace,earrings  ,blue Silk stockings,blush,show Shoulder,thighhighs, slim legs,pointe shoes,full body"
"老婆","from side,portrait,full body,snowflakes,coffee house,starry sky,clusters of stars,colorful startrails,silhouette,anime screencap,slender waist,shiny skin,grayu,cat girl,virgin,solo,knife and sword,ahoge,bangs,blonde_hair/yellow_eyes,kemomimi,looking to the side,kemomimi,chin,jk face leg,pigeon-toed,smile,eyes visible through hair,eyeshadow,gradient eyes,uwabaki,paw gloves,with lightsaber,suspenders,neck ribbon,bell,tail,huge_breasts,beautiful detailed sky,sunlight,gold trim,chromatic aberration,hamburger,200g rice, 2 eggs, 10g salt, 1 scallion, 1 tablespoon oil,Stir fry for 10 minutes,100g ham,100g shrimps,10g soy sauce,10g Cabbage,10g tomato,10g Carrot,10g Sausage,yogurt,Chicken legs, chilli, butter, cheese, French fries, cola, lemon slices"
"巨乳雌小鬼","nsfw,kemonomimi mode,chibi,minigirl,lalafell, extremely detailed CG unity 8k wallpaper,detailed manga illustration,beautiful detailed eyes,Fine hair texture,1girl,(petite:2),(younger:2)loli,(small fingers:1.3), (small legs:1.3), (detail fingers:1.3), (slim legs:1.3),(smooth and radiant skin),mischievous, ahegao/fucked_silly, skin fang, long_hair, twintails, shiny hair, hair behind ear, hime_cut, shiny hair, cat_ears, Glazed pupils, mischievous, navel, blush,(huge_breasts:1.6),(huge_breasts:1.6),wet,sweating profusely,  flying sweatdrops,  saliva"
"士兵","ass focus,loli girl moon night light lake glass,overall view,battlefield,ruins,game cg,marker (medium),solo,long_hair,blonde_hair,aqua_eyes,looking at viewer,sideways glance,heavy breathing,standing,hand in own hair,platform heel ((thigh boots)),annoyed,military uniform,black stocking,boots,Tactical gloves,firearms,medium_breasts,{{masterpiece}},best quality,extremely detailed CG unity 8k wallpaper,{extremely detailed cg}, 1girl, combat suit, science fiction, hangar background, long hair, medium breasts,glowing light,beautiful detailed sky,masterpiece,cinematiclighting,depthoffield,beautiful detailed water,ocean,chinese style architecture,no humans,detailed background,alpine,medal"
"白毛白丝棵睡（手指可能会崩）","Perfect female body,solo,young girl,ahoge,long_hair,silver_hair/cyan_eyes,white stocking,small_breasts,papilla,lace-trimmed panties,on bed,closed eyes,Lie on your side,slim legs,sleeping,white panties,nsfw,detail fingers"
"黑","yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,ahegao,torogao,lying on back,presenting armpit,open  legs,orgasm"
"生气的少女","long_hair,incredibly_absurdres,cityscape,road,white_hair/blue_eyes,evil smileevil grin,hands on hips,heterochromia,papilla,cum,cum in pussy,cum on pussy,cum on body,cum on breasts,cum in mouth,cum on hair,cum in ass,cum on ass,cum on tongue,cum on tongue,cum on feet,cum on legs,cum on armpits,cum in navel,long hair,medium breast, completely nude,highly detailed,garter belt,lying on back,Perfect female body, solo, lace-trimmed bra,legs up,large_breasts,papilla,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,Exhibitionism,large_breasts,knees to chest,long_hair,licking lips,breast hold,Organza lace,maid headdress,tentacle_under_clothes,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,cum_in_mouth,Leakage of urine,{{masterpiece}}, illustration,best quality"
"正太互口blowjob","on the bed,after sex,fellate each other,{{{a cute little boy in serafuku}}},shota,squirting,seductive smile,white socks,naked,nude,punishment game,{{{sucking dick}}},on the bed,{{sucking penis}},cum,sperm,liquid"
"白毛红瞳束缚捏奶","nsfw,sex,((((1boy)))),Bashful,sweat,orgasm,tears,crying,pain,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),ultra-detailed hair,((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),(((breast press))), game_cg,(((torn cloth))),(((grab_wrists))),milking,grab_breasts,((focus_milking)),scared,(extremely detailed nipples),((((suckleing nipple)))),((retie)),rope,bound_wrists,arms_behind_back,breast grab,(((((breasts being grabing by another))))),(((breast spraying)))"
"（画质超高）白毛红瞳涩涩","nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes)"
"开心的ss","crotchless panties,out of frame,cinematic angle,on bed,indoors,extremely detailed CG unity 8k wallpaper,ahoge,bangs,messy_hair,long_hair,white_hair,looking down,open mouth,licking lips,heavy breathing,top-down bottom-up,clothes_lift,breast hold,barefoot,big ass,ass visible through thighs,orgasm,torogao,closed eyes,crotchless panties,wet clothes,huge_breasts,Xiao Qingyi Single ponytail cheongsam black,reflection light"
"雇佣兵","ass focus,loli girl moon night light lake glass,overall view,battlefield,ruins,game cg,marker (medium),solo,long_hair,blonde_hair,aqua_eyes,looking at viewer,sideways glance,heavy breathing,standing,hand in own hair,platform heel ((thigh boots)),annoyed,military uniform,black stocking,boots,Tactical gloves,firearms,medium_breasts,{{masterpiece}},best quality,extremely detailed CG unity 8k wallpaper,{extremely detailed cg}, 1girl, combat suit, science fiction, hangar background, long hair, medium breasts,glowing light,beautiful detailed sky,masterpiece,cinematiclighting,depthoffield,beautiful detailed water,ocean,chinese style architecture,no humans,detailed background,alpine,medal"
"修改版白发红瞳下乳吸血鬼","{profile picture}, {an extremely delicate and beautiful girl}, cg 8k wallpaper, masterpiece, cold expression, handsome, medium breastsupper body, underboob cutout, wedding dress, insanity, white hair, messy long hair, red eyes, beautiful detailed eyes {{a black cross hairpin}}, handsome,Hair glows,dramatic angle, loli, vampire"
"老婆","from side,portrait,full body,snowflakes,coffee house,starry sky,clusters of stars,colorful startrails,silhouette,anime screencap,slender waist,shiny skin,grayu,cat girl,virgin,solo,knife and sword,ahoge,bangs,blonde_hair/yellow_eyes,kemomimi,looking to the side,kemomimi,chin,jk face leg,pigeon-toed,smile,eyes visible through hair,eyeshadow,gradient eyes,uwabaki,paw gloves,with lightsaber,suspenders,neck ribbon,bell,tail,huge_breasts,beautiful detailed sky,sunlight,gold trim,chromatic aberration,hamburger,200g rice, 2 eggs, 10g salt, 1 scallion, 1 tablespoon oil,Stir fry for 10 minutes,100g ham,100g shrimps,10g soy sauce,10g Cabbage,10g tomato,10g Carrot,10g Sausage,yogurt,Chicken legs, chilli, butter, cheese, French fries, cola, lemon slices"
"八重神子","underboob,underboob,underboob,best quality,highly detailed,masterpiece,ultra-detailed,illustration,an extremely delicate and beautiful girl,extremely detailed,extremely detailed CG unity 8k wallpaper,best quality,wallpaper,comic,bodysuit, nsfw,semen,medium breasts,spread legs,closed eyes,sex,sexy,mature,lying,on the bed,long hair,wet hair,drunk,slim body,messy hair,(((strong penis in pussy))),(((raiden shogun))), "
"唯美风","portrait,full body,depth of field,backlight,forest,alpine,rain,firefly,mountain,tachie,marker (medium),Chinese style,princess,ahoge,bangs,ponytail,cat_ears,gradient hair,aqua_eyes,looking back,antlers,standing,own hands together,slim legs,light smile,beautiful_face,beautiful detailed eyes,heterochromia blue red,summer long skirt,poncho,white pantyhose,uwabaki,fingerless gloves,hair bow,flat_chest,beautiful detailed sky,(((flower_crown)))"
"紫","((((fighting_stance)))),ponytail,((outstretched arms)),jk face leg,((no_bra)),black pleated skirt,(((((loli))))),(breasts),(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed eyes,red eyes,burning,detailed light,(black_hair),bloom,(((miko))),((hair pink flowers)),{aqua eyes},(((small breast))),((miko)),(long_hair),nube"
"咔","cinematic angle,upper body,cinematic angle,starry sky,clusters of stars,cityscape,anime screencap,lolita fashion,payot,Large area of cyan Pick dyeing,sitting,arm support,feet up,expressionless,crazy eyes,gothic_lolita,black pleated skirt,lact-trimmed,High heeled boots,batwing,medium_breasts"
"班长","nsfw,sex,((((1boy)))),Bashful,sweat,orgasm,tears,crying,pain,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),ultra-detailed hair,((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),(((breast press))), game_cg,(((torn cloth))),(((grab_wrists))),milking,grab_breasts,((focus_milking)),scared,(extremely detailed nipples),((((suckleing nipple)))),((retie)),rope,bound_wrists,arms_behind_back,breast grab,(((((breasts being grabing by another))))),(((breast spraying)))"
"泳衣勒B雌小鬼","no headwear,  (beach:1.6), (competition swimsuit:1.2),ray tracing,ray tracing,colorful,intricate detail,artbook,(black pantyhose),cameltoe,wet clothes,tight clothes,spread legs, wet,sweating profusely,  flying sweatdrops,  saliva,(spread legs:1.4),((((infant)))),wet,sweating profusely, kemonomimi mode,chibi,minigirl,lalafell, extremely detailed CG unity 8k wallpaper,detailed manga illustration,beautiful detailed eyes,Fine hair texture,1girl,(petite:2),(younger:2),(loli:2),(small fingers:1.3), (small legs:1.3),(huge_breasts:1.6),(smooth and radiant skin),(cute face:1.2),skin fang, hair behind ear, hime_cut, cat_ears, Glazed pupils, blush,kemonomimi mode,chibi,minigirl,lalafell,(huge_breasts:1.6)"
"吊带内裤正太","masterpiece, best quality,realistic shadows,intense angle ,perspective,depth of field,lens 135mm,f1.8, pov chest,chest focus,chest close to camera,from below {{{one baby boy}}},{{male child}},about 4 years old,sitting, in bathroom,steam, wheaten skin,detailed skin, {{{messy hair}}},black hair, blue eyes,round eyes,Bean eyebrow,excited face,canines no clothes,suspender underwear,white knee socks, NSFW,wet body, {{chest strap}},greasy body,in the water,bulge"
"泳池边裸的白毛红瞳萝莉","——【正TAG】——,品质:0,masterpiece,best quality,beautiful detailed eyes,Fine hair texture,人物:0,1little girl:2,very young,loli,外貌:0,middle_chest,large butt,thin:1.2,tall:2,long silver hair:2,dark red eyes:2,tongue:1,动作:0,swim:5,衣装:0,completely nude,表情:0,seductive smile:0.4,shy:2,amazed:0.1,grin:0.4,视角:0,pov crotch,breast focus,场景:0,swimming pool:5,——【否TAG】——,owres,extra thighs bad ,anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked,——【参数】——,Steps: 30, Sampler: Euler a, CFG scale: 10, Seed: 412137998, Size: 512x512, Model hash: e6e8e1fc, Denoising strength: 0.7, First pass size: 0x0,——【bilibli账号】——,uid:2094650654"
"無","masterpiece, best quality,realistic shadows,intense angle ,perspective,depth of field,lens 135mm,f1.8, pov chest,chest focus,chest close to camera,from below {{{one baby boy}}},{{male child}},about 4 years old,sitting, in bathroom,steam, wheaten skin,detailed skin, {{{messy hair}}},black hair, blue eyes,round eyes,Bean eyebrow,excited face,canines no clothes,suspender underwear,white knee socks, NSFW,wet body, {{chest strap}},greasy body,in the water,bulge,gradient hair,colored tips,long hair,Skin made of water,pink_hair,tongue out,wariza,bare shoulders,Glazed pupils"
